"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of postsynapse organization","GO:0099175","4.12240847044666e-8","7.384848978187079","104","1691","28","21017","WASL,WNT7A,DVL1,LRRTM2,KALRN,INS,APOE,PRNP,NF1,AKT1,WNT5A,PTEN,CDK5,ROR2,SEMA3F,PTK2B,CDK5R1,LRRK2,CAPRIN2,LRRTM1,NLGN1,LILRB2,DTNBP1,VPS35,SRCIN1,GHRL,NRXN1,ZMYND8"
"GO:BP","cell-cell junction organization","GO:0045216","4.1399545235673276e-8","7.3830044294762605","216","1691","44","21017","CLDN4,SMAD7,SNAI2,ROCK2,SNAI1,WNT11,TGFB1,TNF,IL1B,PKHD1,TGFB3,SRC,VEGFA,FER,GJA1,PRKACA,VCL,CDH3,PRTN3,F2R,CTNNA1,CTNNB1,NF2,RDX,ARL2,ACVRL1,CSK,NUMB,F2RL1,CLDN18,TGFB2,SMAD3,ANK2,ABCC8,DLG1,AMOT,FLCN,MARVELD3,NR1H4,TBX5,PKP2,PTPN23,GDF2,F11R"
"GO:BP","integrin-mediated signaling pathway","GO:0007229","4.2334685492686405e-8","7.373303662284158","117","1691","30","21017","ITGB1BP1,NRP1,SEMA7A,ABL1,TIMP1,COL3A1,APOA1,FN1,THY1,ITGB3,ISG15,ITGAV,CD63,SRC,CEACAM1,VAV1,PTN,CTNNA1,EMP2,PTK2,PTPN11,ILK,ADAM15,PTK2B,PRKD1,ADAMTS18,TSPAN32,ERBIN,RCC2,ADAMTS1"
"GO:BP","regulation of filopodium assembly","GO:0051489","4.344000631132245e-8","7.36211012032132","52","1691","19","21017","WASL,CCL21,NRP1,TRPM2,SRGAP2C,TGFB3,RHOQ,RAB5A,PIK3R1,CCR7,ARF6,PRKCD,FMR1,DMTN,DPYSL3,NLGN1,RAB17,NRXN1,ZMYND8"
"GO:BP","adenylate cyclase-activating G protein-coupled receptor signaling pathway","GO:0007189","4.399138995777353e-8","7.356632315780479","158","1691","36","21017","ADGRL1,GHRH,PF4,CXCL10,ADRB2,ADRB1,ADRA2A,PRKAR1A,CHGA,ADRB3,DRD2,PRKACA,ADRA2B,ADCYAP1,ADRA2C,CNR1,DRD1,FSHR,PLN,ADORA2A,NOS1,CNR2,PTGER4,DRD3,OPRL1,PTGER3,GSK3A,GHRHR,CXCL9,ADCY1,ADGRG3,ADGRF5,ARRDC3,GPER1,LGR4,ADGRG1"
"GO:BP","lymphocyte chemotaxis","GO:0048247","4.8393815786505164e-8","7.315210133012505","63","1691","21","21017","CCL21,CCL25,TNFSF14,CXCL13,OXSR1,CXCL10,CCL3,CCL4,CCL2,CCL5,KLRK1,WNT5A,CCR2,XCL1,CX3CL1,PTK2B,GAS6,CCL19,WNK1,STK39,PADI2"
"GO:BP","cholesterol transport","GO:0030301","5.1529452041507066e-8","7.28794447575385","105","1691","28","21017","SYT7,VPS4B,APOM,EGF,APOA1,APOE,APOA2,APOC1,APOC2,CD36,NFKB1,ABCB4,COMT,NFKBIA,PPARG,STAR,NR1H2,LRP1,SREBF2,NR1H3,GPS2,SHH,ADIPOQ,TPCN2,SIRT1,ABCG8,ABCG5,VAPA"
"GO:BP","regulation of myoblast differentiation","GO:0045661","5.9048760980959224e-8","7.228789210747804","75","1691","23","21017","DLL1,MSTN,TNFSF14,TGFB1,TNF,CXCL10,BMP4,MYF5,IGFBP3,CAPN3,NOTCH1,SOX9,SMARCA2,SMARCA4,ID3,PPARD,MEF2C,SOX4,CXCL9,ZFP36L1,ZFHX3,ARID2,PLCB1"
"GO:BP","regulation of microtubule-based process","GO:0032886","5.910136288080475e-8","7.228402504147706","265","1691","50","21017","AURKA,XRCC3,DIAPH1,ROCK2,VPS4B,TRIM37,APC2,ABL1,SEMG1,ERBB2,PKHD1,HSPA1A,MAPT,LAMP1,TPR,TACR2,ARL2,SNCA,CDKN1B,MAP1B,GSK3B,PLK1,HAP1,PRKAA2,CAV3,WNT3A,PKD1,CLTC,HNRNPU,SEMG2,PRKAA1,PAK1,DYRK1A,DCTN1,CDK5R1,RGN,STK11,PSRC1,CLASP1,PHLDB2,TRAF3IP1,KAT2B,SIRT1,C16ORF45,BBS4,CIB1,BBS2,CYLD,ATF5,CHMP3"
"GO:BP","protein localization to synapse","GO:0035418","6.065634220698568e-8","7.217123782736516","81","1691","24","21017","RAB27B,WNT7A,DVL1,OGT,HRAS,ERBB2,MAPT,WNT5A,SNAP25,STX1B,RAP1A,DLG4,CDK5,DLG1,STX3,SCRIB,SNAP47,LRRTM1,NLGN1,VPS35,NRXN2,NRXN1,NRXN3,PCLO"
