geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0032984	protein-containing complex disassembly	http://amigo.geneontology.org/amigo/term/GO:0032984	0.2038644330291065	1.012015289633495	0.42994241842610365	0.4865284376416438	236	./Project_wg_result1739092074_GSEA/GO_0032984.png	80	444;7124;26276;57026;8867;10300;2932;1213;54541;2150;5962;6601;126731;8673;1072;23401;27183;829;24144;8289;8775;7429;136319;84305;54516;5289;3799;830;832;29979;143244;4130;50853;57551;7111;100526767;23708;9349;6059;88;81624;57731;1201;6599;3925;57553;347240;10490;85477;5976;7251;23332;9948;50861;51332;55014;23122;2059;6737;22974;5756;84557;6708;9617;3396;6597;65082;57159;55239;324;58526;6605;120;64780;93661;23075;5119;1659;57132;79643	ABCE1;ACTN2;ADD3;APC;ARID1A;ASPH;CAPZA1;CAPZA2;CAPZA3;CAPZB;CCSAP;CFL1;CHMP1A;CHMP1B;CHMP6;CLASP1;CLASP2;CLN3;CLTC;DDIT4;DHX8;DIAPH3;EIF5AL1;EPS8;F2RL1;FRAT2;GSK3B;GSPT2;KATNB1;KIF24;KIF5B;MAP1A;MAP1LC3A;MICAL1;MICAL3;MID1IP1;MRPL58;MTPN;MTRF1;MTRF1L;NAPA;OGFOD1;PDXP;PIK3C3;PYM1;RDX;RNF103-CHMP3;RPL23;SCIN;SMARCA4;SMARCC1;SMARCC2;SMARCE1;SPTA1;SPTBN4;SPTBN5;STMN1;STMN3;STX17;SWAP70;SYNJ1;TAOK1;TFIP11;TMOD1;TNF;TPX2;TRIM21;TRIM54;TSG101;TWF1;UBQLN1;UPF1;VAMP8;VIL1;VILL;VPS33A;VPS33B;VPS4A;VTI1B;WDR1
GO:0007272	ensheathment of neurons	http://amigo.geneontology.org/amigo/term/GO:0007272	-0.21500526123788566	-1.019584554666723	0.4099009900990099	0.48703009640145606	150	./Project_wg_result1739092074_GSEA/GO_0007272.png	25	54468;6334;5605;23205;5653;23405;1902;4653;58494;23175;57211;2065;2824;7097;9928;5728;6647;8893;5914;10215;1739;3265;1499;256987;287	ACSBG1;ADGRG6;ANK2;CTNNB1;DICER1;DLG1;EIF2B5;ERBB3;GPM6B;HRAS;JAM2;KIF14;KLK6;LPAR1;LPIN1;MAP2K2;MIOS;MYOC;OLIG2;PTEN;RARA;SCN8A;SERINC5;SOD1;TLR2
GO:0034248	regulation of amide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034248	-0.1907468377449072	-1.0186771545311144	0.3821656050955414	0.48783205690366577	407	./Project_wg_result1739092074_GSEA/GO_0034248.png	103	246175;5300;60678;26058;51334;63935;23657;28998;84881;2043;1457;60558;92170;5813;7072;5315;5562;8531;65018;27327;10612;340719;343472;20;2872;9451;23410;10399;51204;56931;678;4869;283;1618;378884;8662;8440;1984;5610;3184;8550;8994;5163;400961;197135;6667;353238;192670;23645;6253;56339;26065;65110;54931;1660;57409;27102;8663;677;23369;10289;23163;84271;11187;1942;6472;55024;51123;9698;10418;4780;1617;950;2931;10131;708;57054;55124;3459;48;5580;57142;8893;28969;5914;65981;253314;64127;602;1139;7057;5591;811;5187;9475;6470;836;84919;5621;5936;1654;440275;9001	ABCA2;ACO1;AGO4;ANG;BANK1;BARHL2;BCL3;BZW2;C1QBP;CALR;CAPRIN2;CASP3;CHRNA7;CNOT6L;CSNK2A1;DAZ1;DAZ3;DAZL;DDX3X;DHX9;DUS3L;EEFSEC;EFNA1;EIF1B;EIF2AK1;EIF2AK2;EIF2AK3;EIF2AK4;EIF2B5;EIF3B;EIF3C;EIF4E1B;EIF5A;EPHA4;GGA3;GIGYF2;GSK3A;GUF1;HAP1;HNRNPD;IFNGR1;LIMD1;LSM14A;MAPKAPK5;METTL3;MIF4GD;MKNK2;MRPL13;MTG1;NANOS1;NCK2;NFE2L2;NHLRC1;NOD2;NPM1;PADI6;PAIP2B;PATL2;PCIF1;PDK1;PER1;PIN1;PINK1;PIWIL2;PKM;PKP3;POLDIP3;PPP1R15A;PPP1R15B;PRKAA1;PRKCD;PRKDC;PRNP;PRR16;PUM1;PUM2;PURA;RACK1;RARA;RBM4;ROCK2;RPUSD4;RTN2;RTN4;SCARB2;SHMT1;SHMT2;SIRT3;SLC7A11;SP1;SPON1;TACO1;THBS1;TIA1;TNRC6A;TRAP1;TRIM3;TRMT10C;UPF3A;YBX3;ZFP36L1;ZFP36L2;ZNF706
GO:0048010	vascular endothelial growth factor receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0048010	-0.25990873244901	-1.017469565690127	0.4088176352705411	0.4897047012608332	54	./Project_wg_result1739092074_GSEA/GO_0048010.png	21	3315;9146;2277;5579;23213;2534;28514;11117;3087;5770;7422;10016;79652;3553;8817;558;4504;4734;5587;153090;3091	AXL;DAB2IP;DLL1;EMILIN1;FGF18;FYN;HGS;HHEX;HIF1A;HSPB1;IL1B;MT3;NEDD4;PDCD6;PRKCB;PRKD1;PTPN1;SULF1;TMEM204;VEGFA;VEGFD
GO:0007204	positive regulation of cytosolic calcium ion concentration	http://amigo.geneontology.org/amigo/term/GO:0007204	-0.21401073864665576	-1.0154662879150214	0.4297029702970297	0.49374353970495827	165	./Project_wg_result1739092074_GSEA/GO_0007204.png	30	3060;578;5733;1902;10803;1237;6863;2587;4828;55584;133;1910;3814;3710;2623;1230;3146;5027;2852;7009;60675;596;56477;57338;3685;1742;6546;3356;10563;1236	ADM;BAK1;BCL2;CCL28;CCR1;CCR7;CCR8;CCR9;CHRNA9;CXCL13;DLG4;EDNRB;GALR1;GATA1;GPER1;HCRT;HMGB1;HTR2A;ITGAV;ITPR3;JPH3;KISS1;LPAR1;NMB;P2RX7;PROK2;PTGER3;SLC8A1;TAC1;TMBIM6
GO:0051865	protein autoubiquitination	http://amigo.geneontology.org/amigo/term/GO:0051865	0.24908265913917177	1.0075528549191375	0.42964352720450283	0.4949537094807043	65	./Project_wg_result1739092074_GSEA/GO_0051865.png	23	81559;127544;4193;10206;11060;9025;90678;9978;168433;57674;10273;7320;9112;55182;7322;10193;51127;6737;4850;727800;26994;5896;29089	CNOT4;LRSAM1;MDM2;MTA1;RAG1;RBX1;RNF11;RNF133;RNF19B;RNF208;RNF213;RNF220;RNF41;RNF8;STUB1;TRIM11;TRIM13;TRIM17;TRIM21;UBE2B;UBE2D2;UBE2T;WWP2
GO:0021510	spinal cord development	http://amigo.geneontology.org/amigo/term/GO:0021510	0.23152320333408336	1.007762070316199	0.44129554655870445	0.49602312050975017	100	./Project_wg_result1739092074_GSEA/GO_0021510.png	20	89780;1639;27023;104;2736;5629;6469;9241;1600;51293;8882;4357;2624;266727;55553;6659;340260;2668;5080;79600	ADARB1;CD320;DAB1;DCTN1;FOXB1;GATA2;GDNF;GLI2;MDGA1;MPST;NOG;PAX6;PROX1;SHH;SOX4;SOX6;TCTN1;UNCX;WNT3A;ZPR1
GO:0042157	lipoprotein metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042157	-0.22400216137383266	-1.0137087993162934	0.45661157024793386	0.4972804388642951	116	./Project_wg_result1739092074_GSEA/GO_0042157.png	35	93210;29801;55347;340481;80055;619373;285282;51201;3988;283576;4973;51114;54872;9487;54344;1622;338;29881;80235;8408;147111;9091;3952;335;10434;51604;57467;80830;258010;5538;55625;8542;5495;341;3685	ABHD10;APOA1;APOB;APOC1;APOL1;APOL6;DBI;DPM3;HHATL;ITGAV;LEP;LIPA;LYPLA1;MBOAT4;NOTUM;NPC1L1;OLR1;PGAP1;PGAP3;PIGG;PIGL;PIGQ;PIGT;PIGZ;PPM1B;PPT1;RABL3;SVIP;ULK1;ZDHHC2;ZDHHC21;ZDHHC22;ZDHHC7;ZDHHC8;ZDHHC9
GO:0044282	small molecule catabolic process	http://amigo.geneontology.org/amigo/term/GO:0044282	-0.19170413942919962	-1.0108846203535777	0.41830065359477125	0.503992493724652	359	./Project_wg_result1739092074_GSEA/GO_0044282.png	77	9673;6342;51268;60496;6718;2026;2712;51166;127;161823;3034;23659;2592;3030;34;23576;5467;5211;9583;5825;390916;58510;51179;9582;8644;9615;55268;38;171586;5444;27165;3952;27350;8647;7498;3032;2527;1374;2746;549;11001;123688;4051;64174;130589;23417;3425;3033;18;22875;3948;23600;6999;8074;6472;8277;197322;23175;5019;3081;4143;130013;2931;169355;55586;60489;7263;64064;64087;8529;100;3620;1384;2524;6470;978;1268	AADAT;AASDHPPT;ABAT;ABCB11;ABCD3;ABHD3;ACADM;ACAT1;ACMSD;ACSF3;ADA;ADAL;ADH4;AKR1C3;AKR1D1;AMACR;APOBEC3B;APOBEC3C;APOBEC3G;AUH;CDA;CNR1;CPT1A;CRAT;CYP4F2;CYP4F3;DDAH1;DPEP2;ECHDC2;ENO2;ENPP4;ENTPD4;FGF23;FUT2;FUT5;GALM;GALT;GDA;GK2;GLS2;GLUD1;GSK3A;HADH;HADHA;HADHB;HAL;HAO2;HGD;HYKK;IDO1;IDO2;IDUA;LDHC;LEP;LPIN1;MAT1A;MCCC2;MIOX;MLYCD;NUDT19;OXCT1;OXCT2;PFKL;PIPOX;PLA2G15;PON1;PPARD;PRODH2;SCP2;SHMT1;SHMT2;SLC25A44;SLC27A2;TDO2;TKTL1;TST;XDH
GO:0007062	sister chromatid cohesion	http://amigo.geneontology.org/amigo/term/GO:0007062	0.25439966349183607	1.0034314054962217	0.45610687022900764	0.505789841327029	52	./Project_wg_result1739092074_GSEA/GO_0007062.png	12	11331;84072;8313;5925;151648;1663;2959;10735;5889;151246;9126;23383	AXIN2;DDX11;GTF2B;HORMAD1;MAU2;PHB2;RAD51C;RB1;SGO1;SGO2;SMC3;STAG2
